Category,Company Name,Address,City,State ,Zip Code ,County ,First Name ,Last Name ,Phone,Email,Website,Latitude,Longitude,Public Business Entity Y/N,Non Profit  Y/N,Profile of Service  Description
Housing,Liberty Bank Building ,"1405 24th Ave, Seattle, WA 98122",Seattle,WA,98122,King,N/A,N/A,(206) 204-8753,info@libertybankbuilding.org,https://libertybankbuilding.org/,47.613430,-122.301680,,Y,
School,Africa Town  Center for Education & Innovation,"3100 S Alaska St, Seattle, WA 98108",Seattle,WA,98108,King,N/A,N/A,206.519.0721,outreach@africatowncenter.org,https://www.africatownlandtrust.org/about-us/?msclkid=3793b493b53211ec8d0d4cc088a30638,47.561060,-122.292490,,,
Community Organization,Black Community  Impact Alliance,"140 23rd Ave S, Seattle, WA 98144",Seattle,WA,98144,King,N/A,N/A,206.328.4470,bciawashington@gmail.com,http://www.bcia-intl.org/,47.600610,-122.301710,,,
Religious Instituion ,First African Methodist Episcopal Church,"1522 14th Ave,  Seattle, WA 98122",Seattle,WA,98122,King,N/A,N/A,206.324.3664,fame@fameseattle.org,https://www.fameseattle.org/,47.614710,-122.313750,,,
Art Gallery ,Wa Na Wari,"911 24th Ave, Seattle WA 98122",Seattle,WA,98122,King,Inye,Wokoma,206.485.7563,wanawariseattle@gmail.com ,Wa Na Wari - Home,47.610409,-122.301758,,,
Community Organization,Seattle King County NAACP,"715 23rd Ave, Seattle, WA 98144",Seattle,WA,98144,King ,Carolyn ,Riley-Payne,206.324.6600,secretary@seattlekingcountynaacp.org,https://www.seattlekingcountynaacp.org/,47.595910,-122.302550,N,N,"The mission of the National Association for the Advancement of Colored People (NAACP) is to ensure the political, educational, social, and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination."
Community Organization,Feed the People,"3201 Beacon Ave S Seattle, WA 98144",Seattle,WA,98144,King ,Tarik,Abdullah,N/A,info@feedthepeopleseattle.com,https://www.feedthepeopleseattle.com/,47.574990,-122.309400,N,Y,"Feed The People is a community-focused, black-led initiative based in Seattle, WA."
Community Organization,Black Lives Matter Seattle- king County,"140 23rd Ave s Seattle, WA 98144",Seattle,WA,98144,King ,N/A,N/A,253.234.7250,bciawashington@gmail.com,https://blacklivesseattle.org/,47.600610,-122.301710,N,Y,"Black Lives Matter Seattle-King County is a grassroots, volunteer-run, social-justice non-profit organization focused on the empowerment and liberation of Blacks and other people of color through advocacy and direct action. "
Arts,Central District Forum,"104 17th Ave S, Seattle, WA 98144",Seattle,WA,98144,King,Sharon Nyree,Williams,206.323.4032,info@cdforum.org,https://www.cdforum.org/,47.601400,-122.309820,N,Y,"Central District Forum for Arts & Ideas is the only local, nonprofit organization solely dedicated to presenting emerging Black arts, artists, and ideas in the Seattle area."
Community Organization,Kent Black Action Commission,"24914 109th Pl SE Apt A. Kent, WA 98030",Kent,WA,98030,King,GWEN ALLEN,CARSTON ,253-486-9029,gallencarston@gmail.com,https://kentblackactioncommission.org/,47.378070,-122.195910,N,Y,"The mission of the Kent Black Action Commission is to improve and promote the social, economic, political, spiritual and educational conditions of the Black Community in Kent, Washington and the South King County region."
