Store type,Store Name,Address,City,State ,Zip Code ,County ,Phone,Email,Website,Description,Latitude,Longitude
Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
,Boosh Nursery,"2311 S Jackson St. Seattle, WA 98144",Seattle,WA,98144,King,206.491.8560,shawn.boosh@yahoo.com,https://boosh-plant-nursery.business.site/,,47.59924,-122.30116
,Brown Angel Skin & Hair,"1123 1st Ave, Seattle, WA 98101",Seattle,WA,98101,King,,,https://www.brownangelskin.com/,"Brown Angel Skin & Hair is a queer, Black, womxn-owned organic skin and hair care product line offering luxury aromatherapeutic spa-like home moisture treatments that encourage healthy, glowing skin and hair!",47.60582,-122.33736
,Flowers Just 4-U,"201 23rd Avenue Seattle, WA, 98122
",Seattle,WA,98122,King,206.324.1440,ginlolmw@aol.com,http://www.flowersjust4useattle.com/,,47.60352,-122.3025
Retail,The House of LR&C,"2616 NE University Village St, Seattle, WA 98105",Seattle,WA,98105,King,,info@thehouseoflrc.com,https://thehouseoflrc.com/,,47.66329,-122.29963
Retail,Jacob Willard Home,"5600 Rainier Ave South. Seattle, WA 98118",Seattle,WA,98118,King,206.290.8619,karl@jwillardhome.com,http://jwillardhome.com/,"Jacob Willard Home is your source for Vintage and Mid-Century furniture and collectibles, from bar ware to lounge chairs",47.55179,-122.27763
Retail,Lika Love,"6031 California Ave SW C,Seattle, WA 98136",Seattle,WA,98136,King,206.384.1710, hello@likalove.com,https://likalove.com/,"Lika Love is a clothing boutique in the Morgan Junction of West Seattle, Madison Valley, and Queen Anne that carries women's apparel, handbags, jewelry and accessories.",47.54761,-122.38743
Retail,Noir Lux Candle Co.,"3020 Waren Pl, Seattle, WA 98121",Seattle,WA,98121,King,206.708.6869,NoirLuxCandleCo@gmail.com,https://www.noirluxcandleco.com/,"
 Noir Lux Candle is a black-owned, woman-owned business.
",47.61839,-122.35415
Textile Company,Our Fabric Stash,"1501 Pike Place Ste 326, Seattle, WA 98101",Seattle,WA,98101,King, 206.330.4196,stashaholics@ourfabricstash.com,https://ourfabricstash.com/,"An innovative, eco-friendly fabric consignment shop",47.60868,-122.34106
,The Postman,"143 Martin Luther King Junior Way, Seattle, Washington 98122",Seattle,WA,98122,King,206.257.4623,thepostman.social@gmail.com ,https://thepostmanseattle.com/,,47.60256,-122.29684
,Queencare,"2315 South Jackson Street Seattle, WA 98144 ",Seattle,WA,98144,King,((425) 200-4027,support@queencareproducts.com,https://www.queencareproducts.com/,QueenCare products were designed with thoughts of how to best serve our skin while utilizing aromatherapy to heal and uplift our mood. ,47.59924,-122.30113
Retail,Sukie's Candle Co.,"225 Logan Ave S, Renton, WA 98057",Renton,WA,98057,King, 510-435-6852,sukiescandleco@gmail.com,https://sukiescandleco.com/,"Sukie's Candle Co. provides exotically scented premium soy wax candles, made fresh to order and individually hand-poured. This business is independently & locally operated, 100% woman & black-owned, eco-friendly and vegan",47.48059,-122.21017
,Valerie Madison Jewelry,"1411 24th Ave.
Seattle, WA",Seattle,WA,98122,King,206.395.6359,hello@valeriemadison.com,valeriemadison.com,,47.61379,-122.30148
,MdKariba Suite | Balloon Bar Boutique,"3860 Delridge Way S.W., WA 98106",Seattle,WA,98106,King,,poptasticdecor@gmail.com,itspoptastic.com,,47.56869,-122.36296
,Local Yokes,,Seattle,WA,,King,206.503.0139,info@local-yokels.com,local-yokels.com,,,
Farmers Market,Clean greens Farm & Market,"124 21st Ave Seattle, WA 98122",Seattle,WA,98122,King,206-430-8689,blackdollarcleangreens@gmail.com,cleangreensfarmmarket.com,"Cleangreen is anon-profit owned and operated by residents of Seattle’s Central District.  Founded in 2007 by Project of Black Dollar Days Task Force (a local group of African-American small business owners), Clean Greens is primarily run by volunteers with a passion for bringing ""Produce to the People""!",47.60202,-122.30466
Library,Estelita's Library,"2533 16th Ave. S.
Seattle, WA 98144",Seattle,WA,98144,King,415.342.9009,,estalitaslibrary.com,,47.57999,-122.3122
,Uniquely Savvy,"12310 NE 92nd St Kirkland, WA 98033",Kirkland,WA,98033,,425.503.9885,kim@uniquelysavvy.com,uniquelysavvy.com,Uniquely Savvy offers a complete portfolio of image consulting services to help you reach maximum potential including personal brand and style analysis.,47.68422,-122.17639
,Gresham Financial,"1700 Westlake Ave. N., Suite 200
 Seattle, WA",Seattle,WA,98109,King,206.350.9448,isaiah@greshamtaxes.com,seattleaccountingfirm.com,"Gresham Financial provides tax, accounting and outsourced CFO services for business owners, executives, and independent professionals. Combining our personal, proactive approach with industry-leading expertise, we'll help you plan for the future",47.63397,-122.33987
,Lika Love Boutique,"535 Warren Ave. N. Seattle, WA 98109",Seattle,WA,98109,King,206.384.1710,malika@likalove.com,likalove.com,"Lika Love is a clothing boutique in the Morgan Junction of West Seattle, Madison Valley, and Queen Anne that carries women's apparel, handbags, jewelry and accessories.",47.62443,-122.35418
,MOTSI,"1601 5TH AVE STE 1100, Seattle, WA 98101",Seattle,WA,98101,King,844.696.6874,info@motsicouture.com,motsicouture.com," sustainable, luxury lifestyle company. Made in the USA.",47.61193,-122.33717
,Compfit,"4501 Interlake Ave N, Seattle, WA 98103
",Seattle,WA,98103,King,206.579.6880,eric@compfit.com,compfit.com,"Compfit provides experienced personal training, partner training and semi-private training to address the whole body",47.66187,-122.34102
,Maya Whole Health Studios,"1322 Lake Washington Blvd. N, Renton, WA 98056",Renton,WA,98056,King,425.271.0200,studio@mayawholehealth.com,mayawholehealth.com,"At Maya they offer a variety of health and fitness related services in a beautiful and welcoming environment. Services include Medical and Wellness Massage, Traditional Chinese Medicine/Acupuncture, Yoga and Pilates Group Classes, Private Instruction, Pilates Equipment Circuit Series, and educational workshops to provide renewal and fortification of body, mind, and spirit .",47.50424,-122.19876
,The Ride ,"112 E. Lynn St.Seattle, WA 98102",Seattle,WA,98102,King,206.453.3518,info@therideseattle.com,therideseattle.com,"Boutique indoor cycling studio, also offering small group fitness and meditation sessions. Lead by love and fed by community ",47.63986,-122.32642
,City Sweats,"1322 Lake Washington Blvd N, Suite 3 Renton, WA 98056 ",Renton,WA,98056,King,425. 271. 0200,studio@mayawholehealth.com,citysweats.com,"City Sweats provides infrared sauna, lymphatic drainage and body contouring and state of the art technologies to the Seattle, WA area.",47.50424,-122.19876
,Rainier Health & Fitness,"7722 Rainier Avenue S. Seattle, WA 98118",Seattle,WA,98118,King,206.725.0279,staff@rainierhealth.com,https://www.rainierhealth.com/,,47.53274,-122.26924
,Jacob Willard Home,"5600 Rainier Ave. S. Seattle, WA 98118",Seattle,WA,98118,King,206.290.8619,karl@jwillardhome.com,jwillardhome.com,"acob Willard Home is your source for Vintage and Mid-Century furniture and collectibles, from bar ware to lounge chairs.",47.55179,-122.27763
,Adorned Abode ,"Old Freighthouse Square 2501 E. D St., Suite 53 Tacoma, WA 98421",Tacoma,WA,98421,Pierce,253.301.0215,adornedabode@comcast.net,adornedabode.net,"Adorned Abode's mission is to create a heartwarming experience when you shop with them. Selling a variety of goods, some locally made, fair trade items.",47.23954,-122.42838
,Sukie's Candle Co.,"325 NE Thornton Pl, Seattle, WA 98125",Seattle,WA,98125,King,206.317.4397,nfo@houseofvartan.com,sukiescandleco.com,,47.70289,-122.32475
,Herbanfarm,"85 Pike Street Seattle, WA 98101",Seattle,WA,98101,King,,info@herbanfarm.com,herbanfarmonline.com,,47.60946,-122.34106
,are& be vintage,"9816 20th Ave Sw Apt 202, Seattle, WA 98106",Seattle,WA,98106,King,253.841.2043,areandbevintage@gmail.com,http://www.areandbevintage.com/,handpicked vintage clothing for the conscious consumer,47.51502,-122.35892
,Blk Sunflower,"10828 Gravelly Lake Dr SW Suite 110, Lakewood, WA 98499",Lakewood,WA,98499,King,206.584.4404,hello@blksunflower.com,https://www.blksunflower.com/,"Specializing in Luxury Sensory Experiences for your mind, body, and soul.",47.15846,-122.52116
,Exclusive Boutique ,"1141 MLK Jr. Way Seattle, WA 98122",Seattle,WA,98122,King,206.765.6496,info@givemeexclusive.com,https://givemeexclusive.com/,,47.61256,-122.2965
,Flowers Just-U,"2216 S Jackson St Seattle, WA 98144",Seattle,WA,98144,King,206.324.1440,flowersjust4u.mw@gmail.com,https://flowersjust4u.net/,Flowers Just-4-U is your local Specialty Flower Shop,47.59946,-122.30247
,jacob Willard Home,"5600 Rainier Ave S, Seattle, WA 98118 ",Seattle,WA,98118,King,206.290.8619,karl@jwillardhome.com,http://jwillardhome.com/,,47.55179,-122.27763
,Joyce's market & Café,"2717 E. Union Street Seattle, WA 98122",Seattle,WA,98122,King,206.322.9140,joycesmarketandcafe@gmail.com,https://www.facebook.com/JoycesMarketandCafe/,,47.61279,-122.29656
,King's Deli & Grocery ,"2800 East Cherry Street, Seattle WA 98122",Seattle,WA,98122,King,206.720.5204,,https://kings-deli-grocery.business.site/?utm_source=gmb&utm_medium=referral,,47.60818,-122.29588
Jewlery,Lace and Pearl Jewlery,,Seattle,WA,,King,,laceandpearlsjewelry@gmail.com,http://laceandpearlsjewlery.com/,,,
Boutique Store,Lika Love ,"4447 California Ave SW, Seattle WA 98116",Seattle,WA,98116,King,206.384.1710,malika@likalove.com,https://likalove.com/,"Lika Love is a clothing boutique in the Morgan Junction of West Seattle, Madison Valley, and Queen Anne that carries women's apparel, handbags, jewelry and accessories.",47.56342,-122.38696
Custom T-shirts and Apparel,NW Tenacious Tees,"3412 Evanston Ave N, Seattle, WA 98103",Seattle,WA,98103,King, 206.512.4609,nwtenacioustees@outlook.com,https://nwtenaciousdiscounts.com/,,47.65036,-122.35113
Convenience Store,Quick Pack Food Mart,"2616 S Jackson St, Seattle, WA 98144",Seattle,WA,98144,King,206.328.2127,,https://quick-pack-food-mart.hub.biz/,,47.59942,122.29781
Footwear Store,Solemates,"1422 Harvard Ave,Seattle, WA 98122",Seattle,WA,98122,King,206.492.5856,solemates.seattle@gmail.com,https://sms206.shop/,"SoleMates 206 is a black-owned footwear store where customers can nuy,sell or trade footwear",47.61384,-122.32146
Home décor service,SydneyRo Design,"26828 Maple Valley HWY,  Maple Valley, WA 98038",Maple Valley,WA,98038,King,253.234.4271,sydneyrou@gmail.com,https://www.facebook.com/SydneyRou/,,47.46732,-122.15038
Apparel Store,Toure Apparel,"9431 Rainier Ave S, Seattle, WA 98118",Seattle,WA,98118,King,206.349.2164,toureapparel@yahoo.com,https://www.toureapparel.net/,,47.51966,-122.26355
Apparel Store,The Underdog Co.,"2900 1st Ave, #N206, Seattle, Washington, 98121",Seattle,WA,98121,King,478.787.9066,,https://theunderdogco.com/,,47.60059,-122.33379
