Cuisine/Shop type,Buisness Name,Address,City,State ,Zip Code ,County ,Phone,Email,Website,Description,Latitude,Longitude
Coffee Shop,Black Coffee NW,"16743 Aurora Ave N Shoreline, WA",Shorline,WA,98133,King,,"16743 Aurora Ave N Shoreline, WA",http://www.blackcoffeenw.com/,,47.613120,-122.301640
Soul Food,Communion Restaurant & Bar ,"2350 E. Union St. Seattle, WA 98122",Seattle,WA,98122,King,206.391.8140,goodday@communionseattle.com,communionseattle.com,,47.608150,-122.296470
Soul Food,Fat's Chicken & Waffles,"2726 E. Cherry St. Seattle, WA 98122",Seattle,WA,98122,King,206.602.6863,,fatschickenandwaffles.com,,47.579520,-122.312140
Coffee Shop,The Station Community Coffee House,"1600 S. Roberto Maestas Festival St.,Seattle, WA 98144",Seattle,WA,98144,King,206.931.1357,thestationcoffeeshop@gmail.com,thestationbh.com,,47.372580,-122.204200
Southern,Nana's Southern Kitchen,"10234 S.E. 256th St., Suite 102 Kent, WA 98030",Kent,WA,98030,King,253.243.6711,nanasouthernkitchen@gmail.com,nanassouthernway.com,,47.561980,-122.377520
Bakery,Pot Pie Factory,"4611 36th Ave. SW, Seattle, WA 98125",Seattle,WA,98125,King,206.412.5204,info@potpiefactory.co, potpiefactory.co,,47.675910,-122.304100
Southern,JuneBaby,"2122 N.E. 65th St. Seattle, WA 98115",Seattle,WA,98115,King,206.257.4470,info@junebabyseattle.com,junebabyseattle.com,,47.613770,-122.317030
Vegan American ,Plum Restaurants,"1429 12th Ave.Seattle, WA 98122",Seattle,WA,98122,King,206.838.5333,info@plumbistro.com,plumbistro.com,,47.606430,-122.303100
Chicken Joint,Ezell's Famous Chicken,"501 23rd Ave, Seattle, WA 98122",Seattle,WA,98122,King,206.324.4141,,ezellschicken.com,,47.382230,-122.231010
Bakery,KJ's Cakery Bakery ,"204 Central Ave. N. #102 Kent, WA  98032",Kent,WA,98032,King,253.277.2516,kathyjo@kjscakerybakery.com,kjscakerybakery.com,,47.63400,-122.280240
Candy Store,Scoop Du Jpur Ice Creamery,"4029 E. Madison St. Seattle, WA 98112",Seattle,WA,98112,King,206.352.9562,,facebook.com,,47.612710,-122.303910
Ethiopian,Adey Abeba Ethiopian Restaurant ,"2123 East Union St.
Seattle, WA 98122",Seattle,WA,98112,King,206.322.1617,,Adey Abeba Ethiopian Restaurant - Seattle,,47.608180,-122.295880
Ethiopian,Agelgil Ethiopian Restaurant,"2800 E Cherry St Seattle, WA 98122",Seattle,WA,98112,King,206.324.6402,agelgil.ethiopian@gmail.com,"Agelgil Ethiopian Restaurant - Home - Seattle, Washington - Menu, prices, restaurant reviews | Facebook",,47.714020,-122.312250
